step,time,baseline_particles,surrogate_particles,particle_count_delta,position_rmse,position_rel_l2,position_max_abs,gamma_rmse,gamma_rel_l2,gamma_max_abs,sigma_rmse,sigma_rel_l2,sigma_max_abs
1,0.0034223749999999996,201,301,100,0.0,0.0,0.0,0.002833589168053907,0.04835201134404073,0.008012970757671795,0.0,0.0,0.0
2,0.006844749999999999,402,482,80,0.004021504211370916,0.004256907125676298,0.023816161161548714,0.021554280925984916,0.4643191642226935,0.07801757453211221,8.729487995618811e-05,0.0012758010475301678,0.0003410058533740157
3,0.010267124999999998,564,583,19,0.0060132459217892295,0.00625270828215879,0.023812940168193797,0.008248881512447804,0.2318957513829889,0.06363489835855556,0.00013646575914779807,0.0019946551961738676,0.0005334192011707956
4,0.013689499999999999,755,684,-71,0.0081634525405296,0.008405328247411052,0.026451570729280702,0.012792292344216201,0.42368937350702485,0.12934741200247996,0.00017697505823136182,0.0025871769432811225,0.0006223920749239137
5,0.017111875,953,785,-168,0.0106884001817573,0.01096114822878432,0.03689642415111971,0.01161505573013499,0.43358774712579917,0.12933156595898393,0.00024293282449405139,0.0035531498071122492,0.0008680796408395142
6,0.020534249999999997,1154,886,-268,0.013554500593897087,0.013812474953683646,0.04626770851590938,0.011347478373761308,0.46630460740200025,0.18830869812561357,0.0003616511064662085,0.005294303908233286,0.0014481624457882147
7,0.023956624999999995,1355,987,-368,0.01672317927593096,0.01692187056761937,0.04941261783542486,0.011709936033575587,0.5213358080406719,0.1875379639069107,0.0005046426780286249,0.007395772217592776,0.002001968243157126
8,0.027378999999999994,1556,1088,-468,0.02004220910697826,0.020128944912200783,0.058233163264235714,0.011990393328361743,0.5718976703674745,0.1862576647812729,0.0006426770105868829,0.009428820313157435,0.0023229780447762693
9,0.030801374999999992,1757,1189,-568,0.023339690756582387,0.02325876562588633,0.0662386700698252,0.012840405523374654,0.6506222662227455,0.1846179525821297,0.0007683952497137781,0.011283717334493883,0.002425438604237759
10,0.03422374999999999,1958,1290,-668,0.026481359618498852,0.026179534864070493,0.07942314934893428,0.014328173299638338,0.7662158184342039,0.18271912920402353,0.0008799610935107798,0.01293240415725371,0.0027340248684752794
11,0.03764612499999999,2159,1391,-768,0.02944861502902395,0.028877575875280077,0.08740031600894456,0.017280405671325313,0.9701364682362899,0.1806384391892305,0.0009781214783455513,0.014385399587216265,0.003226246643893843
12,0.04106849999999999,2360,1492,-868,0.032216549466611906,0.0313339074262572,0.0949156328891827,0.021626943430756093,1.26915038065264,0.17844213765766143,0.0010709209396683355,0.015760649296300517,0.0037382300539404167
13,0.044490874999999985,2561,1593,-968,0.03481202406606109,0.033580353621915596,0.10763926166518104,0.02431040089223267,1.4858674066006663,0.151199714339361,0.001165078499515619,0.017157007391286342,0.004019603151502446
14,0.047913249999999984,2762,1694,-1068,0.0372321001658015,0.035619346231583485,0.11275352635893678,0.0271699869704089,1.72432034393452,0.15158734297694632,0.0012656275530542745,0.01864923396179592,0.004502795970702314
15,0.05133562499999998,2963,1795,-1168,0.039496196110667806,0.03747454225085693,0.12221492069783121,0.028351974556264987,1.8634238476944462,0.15181737197199482,0.0013707692761831373,0.02021158575648329,0.00512758574373276
