step,time,baseline_particles,surrogate_particles,particle_count_delta,position_rmse,position_rel_l2,position_max_abs,gamma_rmse,gamma_rel_l2,gamma_max_abs,sigma_rmse,sigma_rel_l2,sigma_max_abs
1,0.0034223749999999996,201,301,100,0.0,0.0,0.0,0.00464717876108372,0.07929887744737116,0.013095895268357166,0.0,0.0,0.0
2,0.006844749999999999,402,502,100,0.0022887724364524307,0.002422748101627494,0.010127274476855647,0.022118518093546,0.4764738786835923,0.07936562935155915,7.676869464622346e-05,0.0011219624919162586,0.0003199364252651493
3,0.010267124999999998,564,603,39,0.005363307717738767,0.0055768879275260065,0.02371321054392239,0.008839076132917734,0.24848753110118954,0.05993770216619239,0.00012365905249720632,0.0018074656467513565,0.0004884309991909225
4,0.013689499999999999,755,804,49,0.006921418430828488,0.007126493791684363,0.0300487826357138,0.012177999101272586,0.4033435658715346,0.12251356890393066,0.0001584374305003357,0.002316177608526614,0.0007397780400861947
5,0.017111875,953,905,-48,0.010047027758825733,0.010303409177283757,0.04086730759684455,0.013040024753315291,0.4867815606416313,0.18832176217135557,0.00022592525359503844,0.0033043960728849696,0.0010053576346000653
6,0.020534249999999997,1154,1047,-107,0.012934417344554595,0.013180590046422786,0.04653652987714328,0.013683560103292502,0.5623017653491676,0.1883318923186837,0.00034771081639717837,0.00509022840320986,0.0013762838554760154
7,0.023956624999999995,1355,1148,-207,0.016329518218232305,0.016523532347597035,0.05851714400400555,0.014514667132847119,0.6462047014131873,0.18756123850641443,0.0004964387507939857,0.007275539863575235,0.0019117487854327098
8,0.027378999999999994,1556,1254,-302,0.01972999158261851,0.019815376217506696,0.06102067890802201,0.014250189957870741,0.6796816598103834,0.18627663166674768,0.0006447998155154444,0.009459964334028839,0.0022848591957078668
9,0.030801374999999992,1757,1355,-402,0.023111291023390927,0.023031157817423105,0.0682187343495979,0.014266200784891525,0.7228671920180455,0.18463212993574354,0.0007825001582712361,0.011490844852851815,0.0025033348294429686
10,0.03422374999999999,1958,1456,-502,0.0263453833895893,0.02604510844198695,0.07991595937303647,0.014839262323520844,0.7935469015065143,0.182728465749381,0.0009062681823677021,0.013319027961200719,0.0026965610872288215
11,0.03764612499999999,2159,1557,-602,0.02936392936592251,0.02879453235491927,0.08797389745773226,0.018075892174565015,1.0147957477382286,0.18064310510620624,0.0010169767375313422,0.01495685051823752,0.002980679109671522
12,0.04106849999999999,2360,1658,-702,0.03217967179237594,0.03129804009565425,0.10056018670793751,0.021477412242107443,1.2603753281076286,0.17844259159814002,0.0011200485436068997,0.016483655923365866,0.0034499786278092692
13,0.044490874999999985,2561,1759,-802,0.03480481669954016,0.033573401256376714,0.10495282870774528,0.02365444724590094,1.445775096003,0.1761891209636258,0.0012236936455964455,0.018020177121882325,0.003694684974606649
14,0.047913249999999984,2762,1860,-902,0.03727096278083098,0.03565652546493416,0.11282292255374701,0.026652917937386528,1.691504993164199,0.2070395698361692,0.0013320953558224595,0.01962864816762526,0.004392412518622699
15,0.05133562499999998,2963,1961,-1002,0.03955789414952544,0.037533082211451796,0.12231181701703803,0.02859821278735548,1.8796077713614745,0.20927982487442479,0.0014425650231095378,0.021270192716214886,0.004847314613673229
16,0.05475799999999998,3164,2062,-1102,0.041710349339983556,0.03925039069181162,0.1303407233688234,0.03109408818298321,2.1116219724991336,0.22126279214125888,0.001552519440639189,0.02290682857376124,0.005401658025425915
17,0.05818037499999998,3365,2163,-1202,0.0437596244156894,0.04084171130305046,0.1366456950231706,0.031738784245623826,2.222651852031373,0.22303286828551128,0.001663313668887936,0.024558126243961812,0.006034214541046148
18,0.06160274999999998,3560,2264,-1296,0.04575602144843273,0.04232467428039888,0.14577879806218005,0.032164545544843826,2.3167068336246346,0.22457645197317622,0.001775096157691781,0.026226326528050584,0.006615171120806521
19,0.06502512499999998,3757,2365,-1392,0.04765654933393453,0.04370599184383019,0.15336790418989127,0.03320904761137686,2.457156417563616,0.22587054738796927,0.0018846868285140098,0.02786348234565116,0.0071829076066243225
20,0.06844749999999998,3944,2466,-1478,0.04956381849745734,0.045022478893626115,0.15783966981343397,0.03351882960037551,2.541043360996508,0.22689744980220194,0.001993544659461532,0.029491983332029237,0.00773064372500875
